HoleDiameter,PlateWidth,Thickness,Max_vM_Stress_MPa,MaxDisp_mm,Msg,FEA_Runtime,material,timestamp
50.0,95.0,15.0,157.92639493486215,0.14828600245404722,,2.6875,Al6061,2025-10-12 23:15:27.620829
10.0,130.0,5.0,208.58386750839574,0.2236355852179165,,3.921875,Al6061,2025-10-12 23:15:27.620829
10.0,130.0,7.5,137.49046021699107,0.14908700583152779,,3.828125,Al6061,2025-10-12 23:15:27.620829
10.0,130.0,10.0,102.05143047258085,0.11181175840599235,,3.890625,Al6061,2025-10-12 23:15:27.620829
10.0,130.0,12.5,80.90709642778191,0.08944681938679765,,4.40625,Al6061,2025-10-12 23:15:27.620829
10.0,130.0,15.0,66.90861253913131,0.07453672154067484,,3.53125,Al6061,2025-10-12 23:15:27.620829
20.0,130.0,5.0,232.4938370717815,0.2309670005495877,,3.890625,Al6061,2025-10-12 23:15:27.620829
20.0,130.0,7.5,154.34439471503038,0.15397500040047238,,4.34375,Al6061,2025-10-12 23:15:27.620829
20.0,130.0,10.0,115.20725869616332,0.11547700031909404,,3.953125,Al6061,2025-10-12 23:15:27.620829
20.0,130.0,12.5,91.69546643242238,0.0923754002671557,,4.078125,Al6061,2025-10-12 23:15:27.620829
20.0,130.0,15.0,76.01644608109288,0.07697310023091926,,3.96875,Al6061,2025-10-12 23:15:27.620829
30.0,130.0,5.0,246.30499069414245,0.24455600056344265,,4.328125,Al6061,2025-10-12 23:15:27.620829
30.0,130.0,7.5,163.85805914463987,0.1630380004088739,,3.890625,Al6061,2025-10-12 23:15:27.620829
30.0,130.0,10.0,122.58413289954008,0.12227800032485092,,3.90625,Al6061,2025-10-12 23:15:27.620829
30.0,130.0,12.5,97.78203953358918,0.09782070027136171,,3.484375,Al6061,2025-10-12 23:15:27.620829
30.0,130.0,15.0,81.22482741986714,0.08151410023411859,,4.25,Al6061,2025-10-12 23:15:27.620829
40.0,130.0,5.0,263.7287001120402,0.2653760005862008,,4.34375,Al6061,2025-10-12 23:15:27.620829
40.0,130.0,7.5,175.58808068886663,0.1769230004230035,,3.875,Al6061,2025-10-12 23:15:27.620829
40.0,130.0,10.0,131.4792407092644,0.13269600033475812,,3.8125,Al6061,2025-10-12 23:15:27.620829
40.0,130.0,12.5,104.98306544682832,0.10616000027878067,,3.96875,Al6061,2025-10-12 23:15:27.620829
40.0,130.0,15.0,87.29590528732078,0.08846820023989709,,3.75,Al6061,2025-10-12 23:15:27.620829
50.0,130.0,5.0,286.53696524122506,0.29559900062032995,,3.515625,Al6061,2025-10-12 23:15:27.620829
50.0,130.0,7.5,190.86074157966394,0.19707700044459614,,3.4375,Al6061,2025-10-12 23:15:27.620829
50.0,130.0,10.0,142.98185933559577,0.14781800035017562,,3.671875,Al6061,2025-10-12 23:15:27.620829
50.0,130.0,12.5,114.2239978270807,0.11826300029053168,,3.09375,Al6061,2025-10-12 23:15:27.620829
50.0,130.0,15.0,95.02942690247306,0.09855980024921611,,3.125,Al6061,2025-10-12 23:15:27.620829
10.0,165.0,5.0,167.59563697575658,0.176024592023075,,4.984375,Al6061,2025-10-12 23:15:27.620829
10.0,165.0,7.5,110.39983497689616,0.11734902454643582,,4.8125,Al6061,2025-10-12 23:15:27.620829
10.0,165.0,10.0,81.85499401481378,0.08801117544136086,,4.5625,Al6061,2025-10-12 23:15:27.620829
10.0,165.0,12.5,64.82989509536475,0.07040835424626542,,5.5625,Al6061,2025-10-12 23:15:27.620829
10.0,165.0,15.0,53.56891601641012,0.05867306555763812,,5.203125,Al6061,2025-10-12 23:15:27.620829
20.0,165.0,5.0,182.23094911664182,0.18064100020043802,,4.796875,Al6061,2025-10-12 23:15:27.620829
20.0,165.0,7.5,121.01235168256463,0.12042500014745267,,4.5,Al6061,2025-10-12 23:15:27.620829
20.0,165.0,10.0,90.33654675272074,0.09031560011822139,,4.75,Al6061,2025-10-12 23:15:27.620829
20.0,165.0,12.5,71.8999951639908,0.07224830009941784,,5.53125,Al6061,2025-10-12 23:15:27.620829
20.0,165.0,15.0,59.60258886544359,0.06020240008622092,,5.078125,Al6061,2025-10-12 23:15:27.620829
30.0,165.0,5.0,190.89781964385006,0.19019800023087047,,6.359375,Al6061,2025-10-12 23:15:27.620829
30.0,165.0,7.5,127.00370735245212,0.1268000001684984,,4.890625,Al6061,2025-10-12 23:15:27.620829
30.0,165.0,10.0,95.01764675694932,0.0951001001343895,,4.203125,Al6061,2025-10-12 23:15:27.620829
30.0,165.0,12.5,75.7983891807115,0.0760791001125818,,4.984375,Al6061,2025-10-12 23:15:27.620829
30.0,165.0,15.0,62.96843558015237,0.06339740009734124,,5.328125,Al6061,2025-10-12 23:15:27.620829
40.0,165.0,5.0,200.26878687447177,0.20443200027787273,,5.265625,Al6061,2025-10-12 23:15:27.620829
40.0,165.0,7.5,133.34562076364293,0.1362930002009043,,4.203125,Al6061,2025-10-12 23:15:27.620829
40.0,165.0,10.0,99.85685150587909,0.10222300015922577,,4.421875,Al6061,2025-10-12 23:15:27.620829
40.0,165.0,12.5,79.74059935386087,0.08178160013275954,,4.15625,Al6061,2025-10-12 23:15:27.620829
40.0,165.0,15.0,66.31391046671507,0.06815320011435919,,4.765625,Al6061,2025-10-12 23:15:27.620829
50.0,165.0,5.0,211.43570893087207,0.22434700034523064,,4.90625,Al6061,2025-10-12 23:15:27.620829
50.0,165.0,7.5,140.84720513536038,0.14957300024719344,,4.359375,Al6061,2025-10-12 23:15:27.620829
50.0,165.0,10.0,105.52654670637136,0.11218800019461758,,4.296875,Al6061,2025-10-12 23:15:27.620829
50.0,165.0,12.5,84.31451637427291,0.0897579001614548,,4.875,Al6061,2025-10-12 23:15:27.620829
50.0,165.0,15.0,70.1580438896558,0.07480470013851025,,4.859375,Al6061,2025-10-12 23:15:27.620829
10.0,200.0,5.0,136.96840482820517,0.14587071191627193,,6.671875,Al6061,2025-10-12 23:15:27.620829
10.0,200.0,7.5,90.24051965196843,0.09724735283353475,,6.75,Al6061,2025-10-12 23:15:27.620829
10.0,200.0,10.0,66.92057355751817,0.0729357726118672,,6.546875,Al6061,2025-10-12 23:15:27.620829
10.0,200.0,12.5,53.00957436685376,0.05834871618051592,,7.03125,Al6061,2025-10-12 23:15:27.620829
10.0,200.0,15.0,43.806822744620504,0.04862410384461188,,7.890625,Al6061,2025-10-12 23:15:27.620829
20.0,200.0,5.0,149.26505431007186,0.14785300007710445,,5.0625,Al6061,2025-10-12 23:15:27.620829
20.0,200.0,7.5,99.13278592932006,0.09856680005767754,,5.234375,Al6061,2025-10-12 23:15:27.620829
20.0,200.0,10.0,74.00750652448168,0.0739224000467518,,4.953125,Al6061,2025-10-12 23:15:27.620829
20.0,200.0,12.5,58.90725874542118,0.05913460003963147,,4.828125,Al6061,2025-10-12 23:15:27.620829
20.0,200.0,15.0,48.835480528740575,0.04927530003458771,,5.625,Al6061,2025-10-12 23:15:27.620829
30.0,200.0,5.0,155.43578193981077,0.15514500010204293,,5.3125,Al6061,2025-10-12 23:15:27.620829
30.0,200.0,7.5,103.41344600652566,0.10343100007521248,,5.609375,Al6061,2025-10-12 23:15:27.620829
30.0,200.0,10.0,77.37199678708507,0.07757330006038361,,5.5625,Al6061,2025-10-12 23:15:27.620829
30.0,200.0,12.5,61.72479698986542,0.0620579000508343,,5.046875,Al6061,2025-10-12 23:15:27.620829
30.0,200.0,15.0,51.27986340714648,0.05171350004412642,,5.328125,Al6061,2025-10-12 23:15:27.620829
40.0,200.0,5.0,161.50624448528066,0.16583800014220876,,5.578125,Al6061,2025-10-12 23:15:27.620829
40.0,200.0,7.5,107.53968294160697,0.11056200010325193,,5.578125,Al6061,2025-10-12 23:15:27.620829
40.0,200.0,10.0,80.53454851299678,0.08292430008207066,,5.078125,Al6061,2025-10-12 23:15:27.620829
40.0,200.0,12.5,64.31427613153271,0.06634170006858292,,4.734375,Al6061,2025-10-12 23:15:27.620829
40.0,200.0,15.0,53.48802138153348,0.055286300059184945,,4.859375,Al6061,2025-10-12 23:15:27.620829
50.0,200.0,5.0,168.52837563325173,0.1804870002022707,,5.203125,Al6061,2025-10-12 23:15:27.620829
50.0,200.0,7.5,112.25908029428221,0.1203320001449103,,5.09375,Al6061,2025-10-12 23:15:27.620829
50.0,200.0,10.0,84.107951109874,0.09025500011414865,,5.359375,Al6061,2025-10-12 23:15:27.620829
50.0,200.0,12.5,67.2034966389686,0.07220980009474405,,5.046875,Al6061,2025-10-12 23:15:27.620829
50.0,200.0,15.0,55.92315990980346,0.06018000008131501,,4.9375,Al6061,2025-10-12 23:15:27.620829
